espn_id,name,position,rookie_season,draft_year,draft_round,draft_pick
4429202,Israel Abanikanda,RB,2023,2023,5,143
2576467,Mehdi Abdesmad,DE,2016,,,
2576336,Ameer Abdullah,RB,2015,2015,2,54
4360807,Yasir Abdullah,LB,2023,2023,5,136
3915373,Micah Abernathy,DB,2022,,,
5093004,Keith Abney II,CB,2026,2026,5,157
4427563,Micah Abraham,DB,2024,2024,6,201
3728305,Johnathan Abram,DB,2019,2019,1,27
4360643,Delrick Abrams,DB,2020,,,
4429193,Kris Abrams-Draine,CB,2024,2024,5,145
4429160,De'Von Achane,RB,2023,2023,3,84
4431152,Jackson Acker,RB,2026,,,
4035103,DeMarkus Acy,CB,2020,,,
2576599,Andrew Adams,DB,2016,,,
3042773,Keion Adams,LB,2017,2017,7,248
5084939,Isaiah Adams,G,2024,2024,3,71
3115373,Jamal Adams,LB,2017,2017,1,6
2978727,Jerell Adams,TE,2016,2016,6,184
3932420,Josh Adams,RB,2018,,,
3126179,Matthew Adams,OLB,2018,2018,7,221
3051894,Montravius Adams,DT,2017,2017,3,93
4039164,Myles Adams,DT,2020,,,
3122099,Paul Adams,OT,2019,,,
3059918,Rodney Adams,WR,2017,2017,5,170
3116734,Tony Adams,G,2018,,,
4240532,Tony Adams,SAF,2022,,,
3886808,Trey Adams,OT,2020,,,
3895228,Tyrell Adams,LB,2015,,,
3912028,Nasir Adderley,FS,2019,2019,2,60
4034729,Tucker Addington,LS,2022,,,
2971271,Bralon Addison,WR,2016,,,
4429205,Jordan Addison,WR,2023,2023,1,23
4427635,Adetomiwa Adebawore,DT,2023,2023,4,110
4242547,Paulson Adebo,CB,2021,2021,3,76
3051869,Quincy Adeboyejo,WR,2017,,,
4046557,Hakeem Adeniji,OT,2020,2020,6,180
3126081,Ola Adeniyi,OLB,2018,,,
3910148,Aaron Adeoye,LB,2019,,,
2515836,Jude Adjei-Barimah,CB,2015,,,
4383440,Nate Adkins,TE,2023,,,
4240719,Cal Adomitis,LS,2022,,,
3119152,Pat Afriyie,DE,2018,,,
2971618,Nelson Agholor,WR,2015,2015,1,20
4035566,McTelvin Agim,DT,2020,2020,3,95
3061612,Jamal Agnew,WR,2017,2017,5,165
5144941,David Agoha,DE,2023,,,
2978887,Roberto Aguayo,K,2016,2016,2,59
4591235,Mitchell Agude,LB,2023,,,
2982809,Carlton Agudosi,WR,2017,,,
5151948,Joey Aguilar,QB,2026,,,
4360131,Holton Ahlers,QB,2023,,,
4266790,Ramiz Ahmed,K,2022,,,
4243315,Salvon Ahmed,RB,2020,,,
4689551,Junior Aho,DT,2023,,,
4360438,Brandon Aiyuk,WR,2020,2020,1,25
2573300,Jay Ajayi,RB,2015,2015,5,149
4374171,Austin Ajiake,LB,2023,,,
4240021,Cam Akers,RB,2020,2020,2,52
4035554,Landen Akers,WR,2021,,,
4683450,Tommy Akingbesote,DT,2025,2025,7,247
4035835,Alex Akingbulu,OT,2022,,,
3116082,Freedom Akinmoladun,DE,2019,,,
3139626,Curtis Akins,LB,2019,,,
3128452,Jordan Akins,TE,2018,2018,3,98
2574087,Derek Akunne,LB,2015,,,
3919117,Azeez Al-Shaair,LB,2019,,,
3122141,Otaro Alaka,LB,2019,,,
4686629,Isaac Alarcon,OT,2020,,,
2978064,Bryson Albright,LB,2016,,,
3871875,Adonis Alexander,DB,2018,,,
4426542,Darius Alexander,DT,2025,2025,3,65
4055563,Deontez Alexander,WR,2018,,,
3052651,Dominique Alexander,ILB,2016,,,
3001171,D.J. Alexander,LB,2015,2015,5,172
3895429,Jaire Alexander,CB,2018,2018,1,18
3045120,Mackensie Alexander,CB,2016,2016,2,54
3914307,Maurice Alexander,WR,2022,,,
2976541,Kwon Alexander,MLB,2015,2015,4,124
2976556,Vadal Alexander,OT,2016,2016,7,234
4240728,Deslin Alexandre,DL,2023,,,
3117242,Joey Alfieri,LB,2019,,,
4401823,Dee Alford,CB,2022,,,
3052686,Mario Alford,WR,2015,2015,7,238
4259976,Josh Ali,WR,2022,,,
4690013,Rasheen Ali,RB,2024,2024,5,165
2469470,Ricky Ali'ifua,DE,2018,,,
2998565,Mo Alie-Cox,TE,2017,,,
4427834,Erick All,TE,2024,2024,4,115
4714771,Drew Allar,QB,2026,2026,3,76
3115922,Nick Allegretti,G,2019,2019,7,216
4240787,Austin Allen,TE,2022,,,
4685247,Braelon Allen,RB,2024,2024,4,134
2574511,Brandon Allen,QB,2016,2016,6,201
4365380,Brevin Allen,LB,2023,,,
2971632,Brian Allen,CB,2017,2017,5,173
3134666,Brian Allen,C,2018,2018,4,111
4696117,Carlos Allen Jr.,DT,2026,,,
2975680,Chase Allen,OLB,2017,,,
4035526,Chase Allen,TE,2022,,,
4870598,CJ Allen,LB,2026,2026,2,53
4241446,Christopher Allen,LB,2022,,,
4912218,Cyrus Allen,WR,2026,2026,5,176
3139453,Dakota Allen,LB,2019,2019,7,251
4426553,Davis Allen,TE,2023,2023,5,175
3046392,Dejon Allen,OT,2018,,,
3052083,Devon Allen,WR,2022,,,
2576254,Jack Allen,C,2016,,,
2577253,Javorius Allen,RB,2015,2015,4,125
3054840,Jonathan Allen,DE,2017,2017,1,17
3918298,Josh Allen,QB,2018,2018,1,7
4685246,Kaytron Allen,RB,2026,2026,6,187
4367180,Kazmeir Allen,WR,2023,,,
3115293,Kyle Allen,QB,2018,,,
4911851,LeQuint Allen Jr.,RB,2025,2025,7,236
3116149,Marcus Allen,LB,2018,2018,5,148
5081412,Marcus Allen,DB,2026,,,
