season,round,slot,slot_confidence,price,player,position,nfl_team,fantasy_team,espn_overall_pick
2017,1,1.01,exact,12,Corey Davis,WR,Ten,Jared,76
2017,1,1.02,exact,10,Leonard Fournette,RB,Jax,Ryan,81
2017,1,1.03,exact,8,Christian McCaffrey,RB,Car,Cantone,82
2017,1,1.04,exact,6,Dalvin Cook,RB,Min,Foley,79
2017,1,,round only,2,Deshaun Watson,QB,Hou,M. Zurek,78
2017,1,,round only,2,Kareem Hunt,RB,KC,Eric,70
2017,1,,round only,2,Mike Williams,WR,LAC,M. Zurek,84
2017,1,,round only,2,Samaje Perine,RB,Wsh,Faybik,85
2017,2,,round only,1,Alvin Kamara,RB,NO,Faybik,77
2017,2,,round only,1,D'Onta Foreman,RB,Hou,Vince,69
2017,2,,round only,1,Evan Engram,TE,NYG,Foley,87
2017,2,,round only,1,Jamaal Williams,RB,GB,M. Zurek,88
2017,2,,round only,1,James Conner,RB,Pit,Dugan,80
2017,2,,round only,1,John Ross,WR,Cin,Ryan,83
2017,2,,round only,1,Marlon Mack,RB,Ind,Bill,72
2017,2,,round only,1,Mitchell Trubisky,QB,Chi,Ryan,71
2017,2,,round only,1,O.J. Howard,TE,TB,Jared,73
2017,2,,round only,1,Zay Jones,WR,Buf,Cantone,75
2018,1,1.01,exact,12,Saquon Barkley,RB,NYG,Jared,71
2018,1,1.02,exact,10,Royce Freeman,RB,Den,Cantone,72
2018,1,1.03,exact,,,,,,
2018,1,1.04,exact,6,Sam Darnold,QB,NYJ,Dugan,69
2018,1,1.05,exact,4,Ronald Jones,RB,TB,Jared,83
2018,1,,round only,2,Baker Mayfield,QB,Cle,Eric,75
2018,1,,round only,2,Calvin Ridley,WR,Atl,Foley,73
2018,1,,round only,2,Josh Rosen,QB,Ari,Faybik,67
2018,1,,round only,2,Kerryon Johnson,RB,Det,Ryan,65
2018,1,,round only,2,Nick Chubb,RB,Cle,Dugan,81
2018,1,,round only,2,Rashaad Penny,RB,Sea,Vince,66
2018,1,,round only,2,Sony Michel,RB,NE,Cantone,84
2018,2,,round only,1,Anthony Miller,WR,Chi,Cantone,96
2018,2,,round only,1,Antonio Callaway,WR,Cle,Faybik,79
2018,2,,round only,1,Christian Kirk,WR,Ari,Eric,87
2018,2,,round only,1,Derrius Guice,RB,Wsh,Vince,78
2018,2,,round only,1,James Washington,WR,ATL,Dugan,93
2018,2,,round only,1,Jordan Wilkins,RB,Ind,Dugan,105
2018,2,,round only,1,Josh Allen,QB,Buf,Abad,64
2018,2,,round only,1,Lamar Jackson,QB,Bal,M. Zurek,70
2018,2,,round only,1,Michael Gallup,WR,Dal,Cantone,108
2018,2,,round only,1,Mike Gesicki,TE,CIN,Jason,74
2018,2,,round only,1,Nyheim Hines,RB,Ind,Ryan,77
2019,1,1.01,exact,12,Kyler Murray,QB,Ari,Dugan,74
2019,1,1.02,exact,10,Josh Jacobs,RB,LV,Abad,81
2019,1,1.03,exact,8,David Montgomery,RB,Chi,Vince,75
2019,1,1.04,exact,6,Miles Sanders,RB,Phi,Vince,78
2019,1,1.05,exact,4,Dwayne Haskins Jr.,QB,Wsh,Ryan,79
2019,1,,round only,2,A.J. Brown,WR,Ten,Ryan,91
2019,1,,round only,2,Darrell Henderson Jr.,RB,LAR,Cantone,87
2019,1,,round only,2,Devin Singletary,RB,Buf,Foley,77
2019,1,,round only,2,DK Metcalf,WR,Sea,Eric,76
2019,1,,round only,2,N'Keal Harry,WR,NE,Cantone,84
2019,1,,round only,2,Parris Campbell,WR,DAL,Vince,83
2019,1,,round only,2,T.J. Hockenson,TE,Det,Vince,82
2019,2,,round only,1,Alexander Mattison,RB,Min,Faybik,80
2019,2,,round only,1,Andy Isabella,WR,Ari,Dugan,86
2019,2,,round only,1,Damien Harris,RB,BUF,Cantone,108
2019,2,,round only,1,Daniel Jones,QB,NYG,Vince,95
2019,2,,round only,1,Darwin Thompson,RB,KC,Bill,85
2019,2,,round only,1,Deebo Samuel,WR,SF,Bill,73
2019,2,,round only,1,J.J. Arcega-Whiteside,WR,Phi,Abad,93
2019,2,,round only,1,Justice Hill,RB,Bal,Eric,88
2019,2,,round only,1,Marquise Brown,WR,Bal,Cantone,96
2019,2,,round only,1,Mecole Hardman,WR,KC,Bill,97
