Team,Position,Player ,2025 Price,2026 Price,2027 Price,Original Price,Purchase Year,Contract Year,Player Pool
A. Zurek,QB,Sam Darnold,$9 ,$19 ,$34 ,$4 ,2024,2,Auction
A. Zurek,QB,Kirk Cousins,$18 ,$28 ,$43 ,$13 ,2024,2,Auction
A. Zurek,RB,Saquon Barkley,$63 ,$73 ,$88 ,$58 ,2024,2,Auction
A. Zurek,RB,Tyjae Spears,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
A. Zurek,RB,Rhamondre Stevenson,$51 ,$76 ,$106 ,$1 ,2021,5,Auction
A. Zurek,RB,Raheem Mostert,$18 ,$33 ,$53 ,$3 ,2023,3,Auction
A. Zurek,RB,Tony Pollard,$17 ,$27 ,$42 ,$12 ,2024,2,Auction
A. Zurek,RB,Ray Davis,$10 ,$20 ,$35 ,$5 ,2024,2,Auction
A. Zurek,RB,Alexander Mattison,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
A. Zurek,RB,Devin Singletary,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
A. Zurek,WR,Drake London,$32 ,$52 ,$77 ,$2 ,2022,4,Auction
A. Zurek,WR,Mike Evans,$23 ,$38 ,$58 ,$8 ,2023,3,Auction
A. Zurek,WR,Stefon Diggs,$15 ,$25 ,$40 ,$10 ,2024,2,Auction
A. Zurek,WR,Chris Godwin,$9 ,$19 ,$34 ,$4 ,2024,2,Auction
A. Zurek,WR,Ricky Pearsall,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
A. Zurek,WR,DeAndre Hopkins,$9 ,$19 ,$34 ,$4 ,2024,2,Auction
A. Zurek,WR,Romeo Doubs,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
A. Zurek,WR,Elijah Moore,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
A. Zurek,TE,Juwan Johnson,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
A. Zurek,TE,Dalton Schultz,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
A. Zurek,Draft Pick,2025 1.07,$2 ,$2 ,$7 ,2,,,Rookie Draft
